,id,movie_id,name
164,58334.0,1900,Splendid Medien AG
165,33.0,134,Universal Pictures
166,2092.0,134,Mike Zoss Productions
167,5870.0,134,Studio Canal
168,9195.0,134,Touchstone Pictures
169,10163.0,134,Working Title Films
170,33.0,3536,Universal Pictures
171,104.0,3536,Canal Plus
172,10308.0,3536,Dino De Laurentiis Company
173,3475.0,15653,Walt Disney Television Animation
174,33.0,11478,Universal Pictures
175,333.0,11478,Original Film
176,506.0,11478,Newmarket Capital Group
177,11482.0,11478,Cranium Films
178,2.0,10567,Walt Disney Pictures
179,10217.0,10567,Walt Disney Feature Animation
180,8.0,16,Fine Line Features
181,76.0,16,Zentropa Entertainments
182,119.0,16,Danmarks Radio (DR)
183,157.0,16,SVT Drama
184,201.0,16,Arte
185,321.0,16,Memfis Film
186,591.0,16,France 3 Cin?ma
187,2996.0,16,Angel films
188,4524.0,16,TV 1000
189,5358.0,16,Canal+
190,5755.0,16,Constantin Film Produktion
191,5975.0,16,Yleisradio (YLE)
192,6916.0,16,Arte France Cin?ma
193,7025.0,16,Westdeutscher Rundfunk (WDR)
194,7330.0,16,Blind Spot Pictures Oy
195,8659.0,16,Vrijzinnig Protestantse Radio Omroep (VPRO)
196,9349.0,16,Film4
197,11239.0,16,Liberator Productions
198,14937.0,16,Icelandic Film
199,17513.0,16,Film i V?st
200,30268.0,16,Pain Unlimited GmbH Filmproduktion
201,53667.0,16,Trust Film Svenska
202,53668.0,16,Cinematograph A/S
203,53669.0,16,What Else? B.V
204,53670.0,16,Filmek A/S
205,53671.0,16,Lantia Cinema & Audiovisivi
206,13158.0,10571,Punch 21 Productions
207,43.0,11826,Fox Searchlight Pictures
208,4169.0,11826,Kanzaman
209,6705.0,11826,Filmfour
210,11561.0,11826,Recorded Picture Company (RPC)
211,4.0,3981,Paramount Pictures
212,347.0,3981,Centropolis Entertainment
213,4564.0,3981,Icon Entertainment International
214,8116.0,3981,Wind Dancer Productions
215,27.0,9285,DreamWorks SKG
216,2364.0,9285,The Montecito Picture Company
217,27.0,2655,DreamWorks SKG
218,306.0,2655,Twentieth Century Fox Film Corporation
219,11395.0,2655,ImageMovers
220,421.0,11398,Amen Ra Films
221,1403.0,11398,Franchise Pictures
222,6194.0,11398,Warner Bros.
223,10210.0,11398,Morgan Creek Productions
224,1271.0,9519,Pariah Entertainment Group
225,7337.0,9519,Mushroom Pictures
226,8724.0,9519,Australian Film Finance Corporation (AFFC)
227,216.0,462,Jersey Films
228,27.0,4958,DreamWorks SKG
229,306.0,4958,Twentieth Century Fox Film Corporation
230,316.0,4958,Wildwood Enterprises
231,1171.0,4958,Epsilon Motion Pictures
232,1755.0,4958,Allied Filmmakers
233,521.0,16366,DreamWorks Animation
234,3486.0,16366,DreamWorks Home Entertainment
235,3487.0,16366,Universal Home Video
236,32.0,243,Buena Vista
237,9195.0,243,Touchstone Pictures
238,158.0,8584,Spyglass Entertainment
239,961.0,8584,Roger Birnbaum Productions
240,9195.0,8584,Touchstone Pictures
241,79.0,5551,Village Roadshow Pictures
242,171.0,5551,Malpaso Productions
243,1757.0,5551,Mad Chance
244,6194.0,5551,Warner Bros.
245,10566.0,5551,Clipsal Films
246,76068.0,5551,Digital Image Associates
247,60.0,10384,United Artists
248,8411.0,10384,Metro-Goldwyn-Mayer (MGM)
249,20375.0,10384,Hammerhead Productions
250,23587.0,10384,Screenland Pictures
251,4319.0,14736,40 Acres & A Mule Filmworks
252,1195.0,25538,Omega Project
253,30241.0,25538,AtomFilms
254,30242.0,25538,Nemuru Otoko Seisaku Iinkai
255,85.0,4234,Konrad Pictures
256,1600.0,4234,Craven-Maddalena Films
257,7405.0,4234,Dimension Films
258,306.0,9600,Twentieth Century Fox Film Corporation
259,508.0,9600,Regency Enterprises
260,4.0,479,Paramount Pictures
261,258.0,479,Scott Rudin Productions
262,11317.0,8452,Phoenix Pictures
263,1403.0,2069,Franchise Pictures
264,6194.0,2069,Warner Bros.
265,10210.0,2069,Morgan Creek Productions
266,51772.0,2069,Nine Yards Productions
267,53013.0,2069,Rational Packaging Company
268,53014.0,2069,Lansdown Films
269,4059.0,22230,Independent Film Channel
270,306.0,1636,Twentieth Century Fox Film Corporation
271,508.0,1636,Regency Enterprises
272,73949.0,1636,KirchMedia
273,711.0,11978,Fox 2000 Pictures
274,126.0,10641,Lakeshore Entertainment
275,8411.0,10641,Metro-Goldwyn-Mayer (MGM)
276,2.0,10481,Walt Disney Pictures
277,10472.0,10481,Cruella Productions
278,7405.0,2155,Dimension Films
279,12552.0,2155,Marty Katz Productions
280,37.0,31776,Gramercy Pictures
281,763.0,31776,Intermedia Films
282,1382.0,31776,PolyGram Filmed Entertainment
283,1645.0,31776,Scott Free Productions
284,10926.0,31776,Pacifica Film
285,23861.0,31776,IMF Internationale Medien und Film GmbH & Co. 2. Produktions KG
286,7961.0,60670,Gaumont International
287,201.0,23160,Arte
288,28190.0,23160,13 Productions
289,55535.0,23160,Magyar Mozg?k?p Alap?tv?ny
290,55536.0,23160,Fondazione Montecinemaverita
291,55537.0,23160,Go?ss Film
292,5.0,786,Columbia Pictures
293,485.0,786,Vinyl Films
294,7293.0,786,DreamWorks Pictures
295,306.0,7450,Twentieth Century Fox Film Corporation
296,11050.0,7450,David Kirschner Productions
297,11231.0,7450,Fox Animation Studios
298,12.0,24100,New Line Cinema
299,4.0,10479,Paramount Pictures
300,14159.0,10479,Seven Arts Pictures
301,54043.0,10479,Munich Film Partners & Company (MFP) ROE Production
302,14.0,392,Miramax Films
303,903.0,392,David Brown Productions
304,65781.0,392,Fat Free
305,31075.0,22705,Lion Pictures
306,3034.0,10991,TV Tokyo
307,3035.0,10991,4 Kids Entertainment
308,12288.0,10991,Nintendo
309,12653.0,10991,Pikachu Project
310,66289.0,10991,Oriental Light and Magic (OLM)
311,89163.0,10991,Kids' WB
312,89164.0,10991,Pikachu Project 2001
313,89165.0,10991,Shoakuken
314,33.0,17711,Universal Pictures
315,594.0,17711,Capella International
316,596.0,17711,KC Medien AG
317,11391.0,17711,Tribeca Productions
318,441.0,11678,Columbia Pictures Corporation
319,9269.0,11678,Global Entertainment Productions GmbH & Company Medien KG
320,2.0,15655,Walt Disney Pictures
321,12.0,14181,New Line Cinema
322,4.0,15489,Paramount Pictures
323,2348.0,15489,Nickelodeon Movies
324,8878.0,15489,MFF Feature Film Productions
325,95596.0,15489,Snow Day Productions
326,95597.0,15489,New Faction Pictures
327,12.0,11973,New Line Cinema
328,335.0,11973,Tig Productions
329,5.0,10642,Columbia Pictures
330,5358.0,14195,Canal+
331,5359.0,14195,Artic Productions LLC
332,62072.0,14195,Polar Entertainment Corporation
333,89312.0,12509,Fred Berner Films
334,89425.0,12509,Zeke Productions
335,4285.0,24102,Universal Cartoon Studios
336,126.0,2046,Lakeshore Entertainment
337,11462.0,2046,Alphaville Films
338,23.0,12107,Imagine Entertainment
339,33.0,12107,Universal Pictures
340,1569.0,11518,Yash Raj Films
341,189.0,2332,ARP S?lection
342,356.0,2332,TF1 Films Productions
343,79.0,18041,Village Roadshow Pictures
344,172.0,18041,NPV Entertainment
345,6194.0,18041,Warner Bros.
346,19507.0,18041,Outlaw Productions (I)
347,1066.0,5257,Distant Horizons
348,13674.0,5257,Working Dog
349,5106.0,9871,Copperheart Entertainment
350,79.0,8870,Village Roadshow Pictures
351,172.0,8870,NPV Entertainment
352,6194.0,8870,Warner Bros.
353,22351.0,8870,The Canton Company
354,53997.0,8870,Mars Production Pty. Ltd.
355,508.0,10687,Regency Enterprises
356,1363.0,10687,Haft Entertainment
357,10104.0,10687,New Regency Pictures
358,73949.0,10687,KirchMedia
359,12.0,9678,New Line Cinema
360,1565.0,9678,Avery Pix
361,2608.0,9678,Happy Madison Productions
362,12.0,10559,New Line Cinema
363,2.0,10637,Walt Disney Pictures
364,130.0,10637,Jerry Bruckheimer Films
365,72823.0,10637,Technical Black
366,72824.0,10637,Run It Up Productions Inc.
367,33.0,5994,Universal Pictures
368,37.0,10480,Gramercy Pictures
369,987.0,10480,USA Films
370,8856.0,10480,Intermedia
371,691.0,14295,Cappa Productions
372,11351.0,14295,Hart-Sharp Entertainment
373,68304.0,14295,Crush Entertainment
374,306.0,10564,Twentieth Century Fox Film Corporation
375,32803.0,10564,Wind Dancer Films
376,204.0,3716,W?ste Filmproduktion
377,25757.0,3716,Quality Pictures
378,97.0,13785,Castle Rock Entertainment
379,33.0,889,Universal Pictures
380,56.0,889,Amblin Entertainment
381,2188.0,641,Artisan Entertainment
382,1403.0,10461,Franchise Pictures
383,6194.0,10461,Warner Bros.
384,10210.0,10461,Morgan Creek Productions
385,22351.0,10461,The Canton Company
386,158.0,4967,Spyglass Entertainment
387,9195.0,4967,Touchstone Pictures
388,53666.0,4967,Triple Threat Talent
389,10201.0,2787,Interscope Communications
390,27.0,10569,DreamWorks SKG
391,670.0,36968,Walt Disney Television
392,16971.0,36968,Pacific Motion Pictures
393,5.0,21355,Columbia Pictures
394,14.0,21355,Miramax Films
395,5.0,10468,Columbia Pictures
396,2811.0,10577,Neo Art & Logic
397,7405.0,10577,Dimension Films
398,65507.0,10577,Wes Craven Films
399,161.0,1698,Claussen + W?bke Filmproduktion GmbH
400,14.0,12597,Miramax Films
401,2811.0,12597,Neo Art & Logic
402,6323.0,12597,Weinstein Company
403,7405.0,12597,Dimension Films
