,id,movie_id,name
0,28.0,98,Action
1,18.0,98,Drama
2,12.0,98,Adventure
3,18.0,2024,Drama
4,36.0,2024,History
5,10752.0,2024,War
6,28.0,2024,Action
7,35.0,4247,Comedy
8,9648.0,77,Mystery
9,53.0,77,Thriller
10,12.0,40096,Adventure
11,35.0,40096,Comedy
12,18.0,40096,Drama
13,12.0,955,Adventure
14,28.0,955,Action
15,53.0,955,Thriller
16,28.0,9679,Action
17,80.0,9679,Crime
18,53.0,9679,Thriller
19,53.0,1359,Thriller
20,18.0,1359,Drama
21,80.0,1359,Crime
22,18.0,71,Drama
23,35.0,71,Comedy
24,10402.0,71,Music
25,12.0,11688,Adventure
26,16.0,11688,Animation
27,35.0,11688,Comedy
28,10751.0,11688,Family
29,14.0,11688,Fantasy
30,10751.0,8871,Family
31,35.0,8871,Comedy
32,14.0,8871,Fantasy
33,16.0,7443,Animation
34,35.0,7443,Comedy
35,10751.0,7443,Family
36,53.0,107,Thriller
37,80.0,107,Crime
38,14.0,1636,Fantasy
39,35.0,1636,Comedy
40,10749.0,1636,Romance
41,18.0,2133,Drama
42,18.0,12509,Drama
43,10749.0,12509,Romance
44,35.0,3981,Comedy
45,10749.0,3981,Romance
46,35.0,10393,Comedy
47,878.0,9741,Science Fiction
48,53.0,9741,Thriller
49,18.0,9741,Drama
50,12.0,8358,Adventure
51,18.0,8358,Drama
52,18.0,10867,Drama
53,18.0,786,Drama
54,10402.0,786,Music
55,27.0,9532,Horror
56,12.0,8584,Adventure
57,28.0,8584,Action
58,35.0,8584,Comedy
59,37.0,8584,Western
60,16.0,13930,Animation
61,10751.0,13930,Family
62,35.0,9285,Comedy
63,12.0,9285,Adventure
64,35.0,8859,Comedy
65,35.0,2069,Comedy
66,80.0,2069,Crime
67,18.0,16,Drama
68,80.0,16,Crime
69,10402.0,16,Music
70,35.0,2123,Comedy
71,18.0,10647,Drama
72,10749.0,10647,Romance
73,35.0,6282,Comedy
74,18.0,6282,Drama
75,10402.0,6282,Music
76,10749.0,6282,Romance
77,53.0,2155,Thriller
78,18.0,10873,Drama
79,27.0,10873,Horror
80,18.0,10637,Drama
81,35.0,10471,Comedy
82,28.0,134,Action
83,12.0,134,Adventure
84,35.0,134,Comedy
85,28.0,12211,Action
86,14.0,12211,Fantasy
87,878.0,12211,Science Fiction
88,35.0,1597,Comedy
89,10749.0,1597,Romance
90,18.0,1907,Drama
91,12.0,1907,Adventure
92,10749.0,1907,Romance
93,53.0,1907,Thriller
94,18.0,11973,Drama
95,53.0,11973,Thriller
96,28.0,5551,Action
97,12.0,5551,Adventure
98,53.0,5551,Thriller
99,18.0,462,Drama
100,18.0,29572,Drama
101,10402.0,29572,Music
102,10749.0,29572,Romance
103,10752.0,29572,War
104,27.0,4234,Horror
105,9648.0,4234,Mystery
106,35.0,10571,Comedy
107,18.0,10571,Drama
108,10749.0,10571,Romance
109,18.0,19457,Drama
110,28.0,19457,Action
111,53.0,19457,Thriller
112,80.0,19457,Crime
113,12.0,146,Adventure
114,18.0,146,Drama
115,28.0,146,Action
116,10749.0,146,Romance
117,28.0,9383,Action
118,878.0,9383,Science Fiction
119,53.0,9383,Thriller
120,18.0,55,Drama
121,53.0,55,Thriller
122,28.0,10473,Action
123,12.0,10473,Adventure
124,35.0,10473,Comedy
125,14.0,10473,Fantasy
126,28.0,4327,Action
127,12.0,4327,Adventure
128,35.0,4327,Comedy
129,80.0,4327,Crime
130,53.0,4327,Thriller
131,16.0,15655,Animation
132,10751.0,15655,Family
133,10751.0,24100,Family
134,27.0,24100,Horror
135,12.0,12609,Adventure
136,16.0,12609,Animation
137,35.0,12609,Comedy
138,16.0,10567,Animation
139,10751.0,10567,Family
140,12.0,10501,Adventure
