,id,movie_id,name
165,9269.0,9383,Global Entertainment Productions GmbH & Company Medien KG
166,5084.0,55,Altavista Films
167,11230.0,55,Zeta Film
168,5.0,4327,Columbia Pictures
169,2.0,15655,Walt Disney Pictures
170,12.0,24100,New Line Cinema
171,758.0,12609,TV2 Danmark
172,2.0,10567,Walt Disney Pictures
173,10217.0,10567,Walt Disney Feature Animation
174,27.0,10501,DreamWorks SKG
175,521.0,10501,DreamWorks Animation
176,12.0,14181,New Line Cinema
177,521.0,16366,DreamWorks Animation
178,3486.0,16366,DreamWorks Home Entertainment
179,3487.0,16366,Universal Home Video
180,33.0,11478,Universal Pictures
181,333.0,11478,Original Film
182,506.0,11478,Newmarket Capital Group
183,11482.0,11478,Cranium Films
184,32.0,243,Buena Vista
185,9195.0,243,Touchstone Pictures
186,11317.0,8452,Phoenix Pictures
187,691.0,14295,Cappa Productions
188,11351.0,14295,Hart-Sharp Entertainment
189,68304.0,14295,Crush Entertainment
190,33.0,3536,Universal Pictures
191,104.0,3536,Canal Plus
192,10308.0,3536,Dino De Laurentiis Company
193,33.0,5994,Universal Pictures
194,1403.0,10461,Franchise Pictures
195,6194.0,10461,Warner Bros.
196,10210.0,10461,Morgan Creek Productions
197,22351.0,10461,The Canton Company
198,333.0,12212,Original Film
199,11317.0,12212,Phoenix Pictures
200,53473.0,12212,Canal+ Droits Audiovisuels
201,3032.0,3176,Nippon Shuppan Hanbai (Nippan) K.K.
202,3656.0,3176,GAGA
203,5073.0,3176,WoWow
204,11538.0,3176,AM Associates
205,11539.0,3176,Kobi Co.
206,11540.0,3176,MF Pictures
207,33.0,843,Universal Pictures
208,539.0,843,Block 2 Pictures
209,540.0,843,Jet Tone Production
210,441.0,11678,Columbia Pictures Corporation
211,9269.0,11678,Global Entertainment Productions GmbH & Company Medien KG
212,12.0,9678,New Line Cinema
213,1565.0,9678,Avery Pix
214,2608.0,9678,Happy Madison Productions
215,27.0,10569,DreamWorks SKG
216,4.0,10479,Paramount Pictures
217,14159.0,10479,Seven Arts Pictures
218,54043.0,10479,Munich Film Partners & Company (MFP) ROE Production
219,572.0,876,New Amsterdam Entertainment
220,2493.0,876,Tandem Communications
221,27.0,2655,DreamWorks SKG
222,306.0,2655,Twentieth Century Fox Film Corporation
223,11395.0,2655,ImageMovers
224,14.0,392,Miramax Films
225,903.0,392,David Brown Productions
226,65781.0,392,Fat Free
227,306.0,9600,Twentieth Century Fox Film Corporation
228,508.0,9600,Regency Enterprises
229,33.0,889,Universal Pictures
230,56.0,889,Amblin Entertainment
231,1271.0,9519,Pariah Entertainment Group
