,budget,id,imdb_id,original_language,original_title,release_date,revenue,runtime,vote_average,vote_count
0,0,406247,,hi,Zabardast,2011-05-20,0,98,8.0,1
0,0,405520,tt1859435,en,31 Million Reasons,2011-01-01,0,0,5.0,1
0,0,156620,tt2058001,en,Laugh to Keep from Crying,2011-08-30,0,0,4.0,1
0,0,181045,,en,Flawed,2011-08-23,0,12,7.0,1
0,0,194115,,ja,??????????????,2011-10-10,0,28,6.5,1
0,0,393827,tt1617006,en,Arch?ology,2011-01-01,0,13,7.0,1
0,630000,78298,tt1821385,en,Curry Munchers,2011-02-11,0,110,6.0,1
0,0,467119,tt2076253,en,The Uneven Rome,2011-03-24,0,0,0.0,0
0,0,200610,,en,Twe12ve,2011-02-01,0,0,8.5,1
0,0,226052,tt1297928,en,Everything Strange and New,2011-02-25,0,84,2.0,1
0,0,230559,tt1950344,en,Shhh...,2011-10-13,0,12,5.0,1
0,0,99969,tt1820402,en,Bomb Squad,2011-02-25,12000,83,7.0,1
0,0,280560,tt1987621,en,Persecution Blues: the Battle for the Tote!,2011-07-28,0,57,7.0,1
0,0,201221,tt2050593,en,Perro flaco,2011-09-08,0,0,5.0,1
0,0,129892,tt1942840,en,Defective detective,2011-01-01,0,4,9.0,1
0,0,339192,tt3798090,en,??,2011-06-08,0,70,7.5,1
0,0,309615,,de,Matthias Reim - Sieben Leben - Live 2011,2011-04-29,0,,7.0,1
0,0,131760,tt1433827,fi,V?h?n kunnioitusta,2011-01-26,0,93,4.0,1
0,0,230074,tt2027119,en,Issues,2011-09-08,0,6,5.0,1
0,0,217252,tt2075188,en,Gibier d'?levage,2011-10-17,0,91,5.0,1
0,0,224722,,en,Do I Have Power,2011-01-01,0,4,4.0,1
0,0,163795,tt1592530,en,? ???????,2011-04-27,0,94,10.0,1
0,0,449719,,en,Devin Townsend Project: By a Thread - Deconstruction,2011-01-01,0,100,8.0,1
0,0,420071,tt5345854,en,The Great Space Jam,2011-08-21,0,13,7.0,1
0,0,77024,tt2014260,en,Jihne Mera Dil Luteya,2011-07-31,0,0,6.0,1
0,1200000,78023,tt1972712,nl,Mijn Vader is een Detective: De Wet van 3,2011-07-21,0,80,6.0,1
0,0,403044,,af,Lollos 3: Boem boem ons gaan Groen!,2011-06-01,0,,10.0,1
0,0,130958,tt1310610,ko,Mozart Town,2011-09-15,0,91,8.0,1
0,0,357689,tt1997478,es,Odio,2011-09-02,0,17,4.0,1
0,0,135843,tt2089840,en,The Tea Party,2011-09-21,0,12,7.0,1
0,0,123805,,en,Electroshock,2011-01-01,0,9,5.0,1
0,0,74196,,en,City Of Ants,2011-05-04,0,44,10.0,1
0,0,136398,,en,KODA KUMI 10th Anniversary ~FANTASIA~ in TOKYO DOME,2011-05-18,0,175,10.0,1
0,0,192584,tt1992265,fr,Un homme presque parfait,2011-06-07,0,,10.0,1
0,0,434321,,gl,Paisaje-Distancia: Pescaderos en el mismo mar,2011-01-01,0,3,10.0,1
0,0,101617,tt1972661,en,Four Days At Dragon*Con,2011-05-04,0,0,9.0,1
0,0,189144,tt1815597,en,Armadingen,2011-01-01,0,25,9.0,1
0,0,202208,tt2011938,it,Il silenzio di Pele?jan,2011-09-05,0,,8.0,1
0,0,161427,,en,REO Speedwagon: Live in the Heartland,2011-09-06,0,93,8.0,1
0,0,247350,,de,Wise Guys - Per Casting ins Glueck,2011-01-10,0,,8.0,1
0,0,132053,tt1998213,en,El cuaderno de barro,2011-01-01,0,60,7.0,1
0,0,330340,,sv,Morden i Sandhamn 01 - I de lugnaste vatten,2011-02-16,0,0,7.0,1
0,0,408512,,en,Verdi Simon Boccanegra,2011-07-28,0,145,6.0,1
0,0,120704,tt1961178,en,Amok,2011-07-16,0,73,0.0,0
0,0,192896,tt2156871,en,Lucky Day Forever,2011-05-11,0,17,8.0,1
0,0,83739,tt1782476,en,Lbf,2011-06-10,0,75,1.0,1
0,0,333586,,de,Divertimento - Plan B,2011-09-11,0,,10.0,1
0,0,186689,tt2140563,en,The Man Who Was Afraid of Falling,2011-05-31,0,5,9.0,1
0,0,468238,tt2072899,pt,Assunto de Fam?lia,2011-08-27,0,12,9.0,1
0,0,340862,tt2417774,pt,Mens Sana in Corpore Sano,2011-08-01,0,22,9.0,1
0,0,110095,,en,TB20,2011-09-09,0,0,8.0,1
0,0,97095,tt1837575,en,I Was Worth 50 Sheep,2011-01-01,0,58,7.0,1
0,1993250,391563,tt2014270,sl,"Lahko no?, gospodi?na",2011-09-29,0,97,6.5,1
0,0,129488,tt1720181,en,O somma luce,2011-01-05,0,18,5.0,1
0,0,111106,tt1950447,en,Verano,2011-09-08,0,95,5.0,1
0,0,206383,tt1959596,en,Trunks,2011-01-01,0,12,5.0,1
0,0,210050,tt2258513,en,Yek. Do. Yek,2011-01-01,0,79,5.0,1
0,0,210050,tt2258513,en,Yek. Do. Yek,2011-01-01,0,79,5.0,1
0,0,345616,tt2220912,en,Og leken er god,2011-06-21,0,0,5.0,1
0,0,261917,tt3266864,bs,Kijamet,2011-03-29,0,10,4.0,1
