,budget,id,imdb_id,original_language,original_title,release_date,revenue,runtime,vote_average,vote_count
0,0,236018,tt0351936,ru,? ????????,2002-10-09,0,0,4.0,3
0,0,37756,tt1394186,en,"Classic Albums: Sex Pistols - Never Mind The Bollocks, Here's The Sex Pistols",2002-11-19,0,88,6.4,4
0,0,177625,tt0364035,no,Summer Blues,2002-11-01,0,25,5.0,1
0,0,90518,tt0395224,en,Nickelback - Live at Home,2002-10-29,0,138,7.0,1
0,0,61401,tt0373389,en,Tibet: Cry of the Snow Lion,2002-09-13,0,104,8.0,4
0,0,77699,tt0320769,en,Woody Allen: A Life in Film,2002-05-04,0,90,1.0,1
0,0,78955,tt5544639,ta,Ramanaa,2002-10-01,0,0,9.5,1
0,0,491,tt0301343,de,Ghettokids - Br?der ohne Heimat,2002-07-04,0,90,10.0,1
0,0,302895,tt0306840,en,Koi Mere Dil Se Poochhe,2002-01-11,0,0,4.0,2
0,0,156252,tt0331601,en,Phobic,2002-01-01,0,88,3.5,2
0,0,41460,tt0210357,en,Taliesin Jones,2002-02-01,0,93,7.0,4
0,0,366169,tt0342624,en,Karz: The Burden of Truth,2002-12-06,0,0,4.0,1
0,0,347220,tt0309498,es,"De Mesmer, con amor ? T? para dos",2002-03-08,0,9,7.0,1
0,0,37001,tt0337907,en,Bumfights 1: Cause for Concern,2002-04-08,0,56,3.5,4
0,0,467037,tt0331527,en,Jack Black: Spider-Man,2002-06-06,0,5,8.5,2
0,0,36875,tt0350862,fr,Total Romance 2,2002-09-15,0,88,3.0,2
0,0,23675,tt0363764,en,Lee Evans: Wired and Wonderful - Live AT WEMBLEY,2002-01-01,0,120,6.7,3
0,0,79418,tt0347394,en,Robbie the Reindeer - Legend of the Lost Tribe,2002-12-13,0,30,6.5,2
0,0,268600,tt0316866,de,Vollweib sucht Halbtagsmann,2002-04-19,0,,5.0,1
0,0,123409,tt0275275,en,*Corpus Callosum,2002-01-26,0,92,3.5,2
0,0,14080,,en,New World Disorder 3: Freewheel Burning,2002-08-25,0,40,3.3,2
0,0,20792,tt0288593,en,Kilimanjaro - To the Roof of Africa,2002-03-01,0,0,7.8,2
0,0,52747,,en,Laurent Garnier: Unreasonable live,2002-05-28,0,72,6.5,2
0,0,40583,,en,RPM - MTV ao Vivo,2002-03-22,0,0,5.0,2
0,0,23376,tt0387272,nl,Hans Teeuwen: Dat dan weer wel,2002-01-01,0,92,6.9,5
0,0,165829,,en,Heromakers,2002-01-01,0,71,0.0,0
0,0,109354,tt0322988,ru,???????,2002-06-07,0,115,4.6,4
0,0,29696,tt0345784,en,Perfectly Legal,2002-10-10,0,100,4.0,1
0,0,246526,,de,Bullyparade,2002-09-23,0,,8.7,3
0,0,206664,tt0368894,en,Ngo ga yau yat chek hiu dung see,2002-09-28,0,0,6.0,2
0,0,57554,tt0335144,en,Heart of a Stranger,2002-12-09,0,0,7.0,1
0,0,124913,tt0317179,en,Bobbie?s Girl,2002-06-09,0,90,6.5,2
0,0,174818,tt0343676,en,Forevermore,2002-06-26,0,0,6.0,1
0,0,383069,,cn,Memento,2002-11-28,2689,84,7.0,2
0,0,458948,,en,School House Rock,2002-08-27,0,283,0.0,0
0,0,59815,tt0322350,en,Fumata blanca,2002-05-10,0,113,0.0,0
0,0,46176,tt0871443,en,Sade: Lovers Live,2002-03-05,0,117,7.0,5
0,0,16653,tt0306069,en,The Singles Ward,2002-01-30,0,102,7.5,4
