,budget,id,imdb_id,original_language,original_title,release_date,revenue,runtime,vote_average,vote_count
0,0,314285,tt3606698,da,Antboy II: Den r?de furies h?vn,2014-12-25,0,80,6.7,19
0,500,320150,tt4156924,en,???,2014-11-26,0,112,6.9,10
0,0,315024,tt2905674,en,Jurassic City,2014-12-31,0,88,5.4,21
0,0,251979,tt2414822,en,The Perfect Wave,2014-02-28,0,113,4.4,21
0,0,282153,tt3812402,ko,?? ??? ??? ??,2014-12-31,0,109,6.5,6
0,0,257836,tt3626430,en,?????,2014-03-28,0,109,5.3,3
0,0,265505,tt3478046,tr,Eyyvah Eyvah 3,2014-01-31,0,0,6.1,12
0,0,339709,tt1810710,en,My Trip Back to the Dark Side,2014-05-14,0,94,6.0,2
0,0,252841,tt2980794,hi,Highway,2014-02-20,0,133,7.1,44
0,0,252391,tt2865558,ja,??????,2014-03-01,0,108,5.8,13
0,0,283727,tt6075718,ja,??????,2014-12-13,0,122,6.2,13
0,0,294682,tt3474600,ja,????????? ???,2014-08-30,0,111,8.3,16
0,0,267872,tt3578504,en,Korengal,2014-05-30,0,84,7.1,27
0,0,288403,tt5773696,ko,Sketch,2014-03-27,0,0,0.0,0
0,40000000,264264,tt3038664,zh,???(?),2014-12-02,0,129,5.3,11
0,0,287509,tt3877718,fr,Tokyo Fianc?e,2014-09-07,0,100,6.0,33
0,0,293894,tt3451956,en,Viking: The Berserkers,2014-09-15,0,89,5.5,11
0,0,253255,tt3457734,en,Fort Tilden,2014-03-08,0,95,5.1,15
0,0,260234,tt3565904,en,"Monster High: Frights, Camera, Action!",2014-03-25,0,72,6.7,14
0,0,254418,tt3302962,en,Shaadi Ke Side Effects,2014-02-28,0,145,6.2,11
0,0,278347,tt2978626,hi,It's Entertainment,2014-08-08,0,140,4.1,17
0,0,259720,tt2372678,hi,?? ???????,2014-04-17,0,149,6.4,46
0,0,272160,tt2166934,en,My Man is a Loser,2014-07-25,0,95,4.4,21
0,0,163710,tt1964773,en,Hide Your Smiling Faces,2014-03-25,0,81,6.3,20
0,0,261192,tt2723240,de,Zeit der Kannibalen,2014-02-10,0,93,7.4,18
0,0,270899,tt2929890,fr,L'homme qu'on aimait trop,2014-05-21,0,122,5.7,29
0,0,250660,tt3263520,en,Ivory Tower,2014-06-13,0,97,7.1,9
0,0,290231,tt3398978,ja,?????,2014-11-22,0,118,0.0,0
0,33989696,285812,tt3949650,ja,??????? ?????????????5?????,2014-03-08,0,109,6.1,12
0,0,276935,tt3175038,hi,Ek Villain,2014-06-27,0,129,6.3,41
0,0,244852,tt2690160,en,Poseidon Rex,2014-04-18,0,76,3.4,14
0,0,248601,tt3202200,de,Bibi & Tina - Der Film,2014-03-06,0,100,5.8,15
0,0,257245,tt2340650,en,East Side Sushi,2014-03-08,0,100,6.3,17
0,0,291347,tt2564978,en,Lost Time,2014-09-19,0,93,3.1,16
0,0,261101,tt3005242,en,Cantinflas,2014-08-29,0,106,5.5,26
0,0,284063,tt3892620,ko,????,2014-07-03,0,90,6.5,14
0,0,288585,tt3335048,da,Stille hjerte,2014-11-13,0,98,6.2,16
0,0,252168,tt3444184,cn,????,2014-01-30,0,94,4.8,19
0,0,293205,tt4067256,en,Recipe for Love,2014-10-11,0,81,5.7,17
0,0,253256,tt3115712,en,The Heart Machine,2014-10-24,0,85,5.5,10
0,0,268100,tt3474994,pt,Casa Grande,2014-01-28,0,117,7.3,24
0,0,285689,tt2049586,en,Glen Campbell: I'll Be Me,2014-04-24,365522,116,7.1,16
0,0,297680,tt3245656,en,Hangar 10,2014-10-22,0,87,4.4,35
0,0,300914,tt4509230,en,Planes: Vitaminamulch Air Spectacular,2014-11-04,0,5,6.1,4
0,0,274817,tt2964120,ja,?????!  ????????,2014-05-10,0,116,7.6,14
0,0,247236,tt3426810,cn,???? 3,2014-01-02,0,93,5.4,5
0,0,306523,tt3860294,it,Ogni maledetto Natale,2014-11-27,0,96,5.3,57
0,0,250761,tt3279124,en,Last Days in Vietnam,2014-09-05,161,98,7.0,32
0,0,253639,tt3481232,en,And the Oscar Goes To...,2014-02-02,0,100,7.1,15
0,0,279550,tt3476480,fr,Maestro,2014-07-23,0,81,5.8,23
0,0,262866,tt2081274,en,In Security,2014-04-28,0,93,4.4,8
0,2489400,283201,tt3142688,en,Finding Fanny,2014-09-12,0,102,5.4,21
0,0,274415,tt1679276,de,"Rico, Oskar und die Tieferschatten",2014-07-10,0,95,6.2,16
0,0,267467,tt3634940,ko,??,2014-04-30,0,98,5.4,28
0,0,174349,tt2789532,en,Big Men,2014-03-14,0,99,6.4,8
0,0,293749,,en,??,2014-08-27,0,95,0.0,0
0,0,261768,tt2210781,en,Lullaby,2014-06-13,0,117,5.3,20
0,3000000,251387,tt3323638,en,The Night Crew,2014-12-31,0,89,4.7,13
0,0,269340,tt3479208,ko,??,2014-04-30,0,135,7.4,19
0,0,351078,,ko,???,2014-01-21,0,84,0.0,0
0,0,257343,tt3477064,tr,Recep ?vedik 4,2014-02-20,149521495,117,6.5,15
0,0,298653,tt2726270,en,Berkshire County,2014-10-05,0,83,5.3,26
0,0,245589,tt3341832,en,Voodoo Possession,2014-01-14,0,94,3.0,14
0,0,270886,tt3483194,fr,Tu dors Nicole,2014-08-22,0,93,6.8,19
0,0,268060,tt2386285,en,Road to Paloma,2014-04-12,0,91,5.8,28
0,0,240581,tt2545186,fr,? Coup S?r,2014-01-15,0,91,5.0,22
0,0,292177,tt3529198,en,My Little Pony: Equestria Girls - Rainbow Rocks,2014-09-27,0,75,6.6,19
0,2000000,249616,tt2788332,en,The Virginian,2014-01-12,0,94,3.6,4
0,0,314041,tt3421738,he,????? ???? ?????,2014-07-17,0,96,5.7,3
0,0,299729,tt3995006,en,Banksy Does New York,2014-11-17,0,79,6.9,32
0,0,255533,tt3504542,fr,L'enl?vement de Michel Houellebecq,2014-08-27,0,92,6.8,15
0,0,283559,tt3785068,en,One Direction: Where We Are - The Concert,2014-10-08,0,106,8.3,51
0,6000000,256766,tt2006753,en,Heavenly Sword,2014-06-30,0,85,4.9,18
0,0,276578,tt3521746,en,The Good Sister,2014-05-10,0,84,4.0,2
0,0,289232,tt3009070,en,The Goob,2014-09-25,0,86,7.1,16
0,0,249926,tt2914762,en,The 7:39,2014-01-06,0,117,6.4,16
0,0,273059,tt3257692,en,Starving in Suburbia,2014-04-26,0,84,8.5,15
