,budget,id,imdb_id,original_language,original_title,release_date,revenue,runtime,vote_average,vote_count
0,2000000,63286,tt1548624,en,Pikap: Sem Bez Pravil,2009-12-03,2238101,77,1.0,1
0,0,411346,tt1647685,vi,Quan,2009-01-01,0,23,5.0,1
0,0,125484,tt1504482,en,??????????????,2009-09-11,0,98,5.5,1
0,0,359963,tt1527685,en,"No Petrol, No Diesel",2009-08-01,0,104,5.0,1
0,0,68634,tt1471195,pl,Moja krew,2009-06-19,0,90,5.0,1
0,0,128391,tt1527163,en,Long Live Philippine Cinema!,2009-01-01,0,6,5.0,1
0,0,32906,tt0915473,en,This Is Not a Test,2009-01-20,0,0,0.0,1
0,0,51595,tt1464549,en,Life Goes On,2009-11-13,0,115,3.0,1
0,0,254368,tt3224204,th,??? ??? ????,2009-12-10,0,111,5.5,2
0,0,182508,,ar,???????? ????????,2009-12-23,0,,6.0,1
0,0,215331,tt2404400,en,Trains Are for Dreaming,2009-01-01,0,7,8.0,1
0,0,100126,tt1500819,en,Macho,2009-01-01,0,76,6.0,2
0,0,127170,,sv,H?kan Hellstr?m: Live p? Peace & Love 2009,2009-12-07,0,0,10.0,1
0,0,184813,tt1517476,ja,?????????,2009-10-30,0,133,6.0,1
0,0,98949,tt1270617,en,El brau blau,2009-03-13,0,63,5.0,1
0,0,73919,tt1483795,en,Os Famosos e os Duendes da Morte,2009-09-25,0,101,7.5,2
0,0,264591,tt1266130,de,Es liegt mir auf der Zunge,2009-11-25,0,,1.0,1
0,0,21487,tt1278447,hi,Sikandar,2009-08-21,0,110,5.0,1
0,0,146263,tt1791527,en,Inferno of the Dead,2009-10-24,0,9,4.0,2
0,0,69162,tt1579236,en,I Know What I Saw,2009-11-01,0,0,8.0,1
0,0,104789,tt1418709,ja,??????????,2009-11-07,0,0,4.3,2
0,0,41576,tt1355230,en,Upstairs,2009-06-01,0,88,5.0,2
0,0,432012,tt1360251,ja,???????,2009-01-08,0,0,8.0,1
0,0,146562,tt1512810,es,"No est?s sola, Sara",2009-01-01,0,0,0.0,0
0,0,78174,tt1410248,en,"Moi, Van Gogh",2009-03-25,0,38,4.8,2
0,0,340075,tt1509825,es,Sin retorno,2009-10-28,0,94,4.0,2
0,0,253894,tt1235162,da,Nuummioq,2009-11-01,0,95,3.5,2
0,0,179533,tt1410207,es,Navidad,2009-11-04,0,99,6.0,2
0,0,276481,tt1118571,es,Son & Moon: diario de un astronauta,2009-05-14,0,,0.0,0
0,0,382667,,en,To Love-Ru Ova,2009-03-04,0,150,8.0,1
0,0,172159,tt2111297,ko,?,2009-08-20,0,115,4.5,2
0,0,327053,,nb,Exil - Der virkeligheten ikke teller,2009-09-04,0,48,4.0,1
0,0,39334,tt1315214,en,Hannah Free,2009-12-11,0,86,6.0,2
0,0,26025,tt1597032,en,Kathy Griffin: Balls of Steel,2009-11-03,0,0,9.0,1
0,0,386095,tt1341733,en,Intersect,2009-01-01,0,15,4.0,2
0,0,20192,tt1305840,hi,Aloo Chaat,2009-03-20,1550000,155,3.8,2
0,0,279634,tt1525344,en,Duburys,2009-09-04,0,140,5.0,1
0,0,253829,tt1500758,en,The Turnpike Killer,2009-04-29,0,88,7.0,1
0,0,317281,tt1133610,en,Ten for Grandpa,2009-01-17,0,8,7.0,1
0,0,170292,tt1515195,en,Being in the World,2009-12-30,0,81,5.0,1
0,0,353536,tt1455061,en,In 500 Words or Less,2009-10-29,0,95,8.0,1
0,0,120551,tt1482167,ko,?? ??,2009-11-12,0,108,5.5,2
0,0,281936,,en,Villagelo Vinayakudu,2009-11-05,0,155,7.0,1
0,0,387508,,ja,???????????,2009-12-31,0,0,4.5,2
0,0,35661,tt2591882,th,???????? 3,2009-05-15,0,91,5.5,1
0,0,46552,tt1590014,is,Draumalandi?,2009-04-08,0,90,3.8,2
0,0,238829,tt1545685,en,Mikres Exegerseis,2009-11-16,0,108,7.5,2
0,0,76106,,en,Kyteman - The Hermit Sessions Live,2009-11-01,0,0,4.8,2
0,0,27192,tt5267070,sl,Trst je na?!,2009-11-06,0,28,4.3,2
0,0,25933,,en,Michael Jackson - Legacy,2009-01-01,0,0,7.0,2
0,0,59879,tt1381090,en,My Greatest Escape,2009-04-08,0,107,5.3,2
0,0,330895,tt1447498,fr,Les amants de l'ombre,2009-12-08,0,,6.5,2
0,0,257285,tt1760406,zh,Little Note,2009-12-01,0,15,5.5,2
0,0,39490,tt1706475,th,???????????,2009-12-24,0,108,7.0,1
0,0,81701,tt1342411,cs,Peklo s princeznou,2009-01-29,0,0,5.5,1
0,0,117683,tt1361808,en,Aisha Tyler Is Lit: Live at the Fillmore,2009-02-21,0,85,8.0,2
0,0,97077,tt1489223,en,"Napoli, Napoli, Napoli",2009-09-08,0,102,4.3,2
0,0,35585,tt1340588,en,Jo Koy: Don't Make Him Angry,2009-01-04,0,0,6.5,2
0,0,266256,tt1499670,de,"Liebling, weck die H?hner auf",2009-12-19,0,,4.0,1
0,0,153209,,fr,Martin Matte - Histoires vraies,2009-12-08,0,0,10.0,1
0,0,119742,tt1499960,de,The Living Matrix,2009-10-22,0,84,4.5,2
0,0,189392,tt1384806,da,F?r,2009-04-23,0,30,9.5,2
0,0,29141,tt1103166,en,Nickelback: Live at Sturgis,2009-10-13,0,0,4.3,2
0,0,78203,tt1287876,fr,The Echo Game,2009-01-01,0,74,5.0,2
0,0,101877,tt1326243,en,The Nine Lives of Marion Barry,2009-08-10,0,87,3.8,2
0,0,363106,tt1608219,en,The BQE,2007-11-01,0,45,7.0,1
0,0,279425,tt1562288,en,Davina Fit,2009-12-07,0,142,7.0,1
0,0,267960,tt1384779,en,Los que se quedan,2009-10-30,0,96,5.0,1
0,0,72492,tt1822299,en,Roy Chubby Brown: Too Fat To Be Gay,2009-11-09,0,63,6.0,1
0,0,101113,tt1590791,en,La isla - Archivos de una tragedia,2009-11-01,0,85,5.0,1
0,0,26507,tt1326900,en,The Way We Get By,2009-07-19,0,84,4.0,1
0,0,330703,tt1499942,en,Tramontana,2009-09-24,0,90,5.0,1
0,0,135527,tt1395055,it,Pane e libert?,2009-03-15,0,,8.3,2
0,135585,174800,tt1691330,en,Led Zeppelin: Dazed & Confused,2009-09-01,0,0,4.0,1
0,0,80712,tt1249295,de,Der B?r ist los! Die Geschichte von Bruno,2009-02-25,0,88,4.0,1
0,0,352540,tt2706494,en,La tragedia de Franco,2009-07-31,0,9,4.0,2
0,0,160329,tt1455195,en,Lightheaded,2009-08-04,0,5,7.0,2
0,0,220958,tt1356753,mn,?rnj?garens son,2009-06-18,0,90,5.0,1
0,0,29588,tt1427194,en,Bringing Up Bobby,2009-05-15,0,93,7.0,1
0,0,373823,tt2177062,en,Wei wen,2009-01-02,0,19,5.0,1
0,0,58336,tt1382687,en,You Changed My Life,2009-02-25,0,111,8.0,2
0,0,354366,tt1424064,tl,Last Supper No. 3,2009-08-14,0,80,10.0,1
0,0,32987,tt1380792,en,Derren Brown: An Evening of Wonders,2009-01-13,0,74,10.0,1
0,0,238380,,it,Vasco Rossi - Il Mondo Che Vorrei,2009-10-14,0,0,4.0,2
0,0,277325,tt1500847,en,Only Human,2009-10-08,0,72,5.3,2
0,0,335936,tt1285017,de,Was gl?cklich macht,2009-04-12,0,,4.5,2
0,0,308972,,es,Descubriendo los alimentos,2009-01-01,0,,10.0,1
0,0,62506,tt1390967,en,???????????,2009-09-24,0,103,1.0,1
0,0,144065,,ru,?? ?????,2009-06-26,0,0,10.0,1
0,0,321493,tt1471212,en,Olhos de Ressaca,2009-01-01,0,20,8.0,1
0,0,260243,tt1356825,id,Perempuan Berkalung Sorban,2009-01-15,0,131,0.0,0
0,0,222641,tt1418824,it,Visions,2009-09-25,0,0,3.0,2
0,0,265837,,en,Here Come The Girls 1,2009-10-12,0,109,7.0,1
0,0,66738,tt1403260,fr,Une Femme Fragile,2009-04-25,0,90,1.5,2
0,0,39509,tt0462232,en,Cold Storage,2009-05-01,0,95,4.0,2
0,0,211160,tt1791474,en,Brush of Baphomet,2009-03-19,0,4,6.0,2
0,0,376452,tt1478438,en,The Astronomer's Dream,2009-03-07,0,11,6.0,2
0,0,328630,tt1467267,de,Heute keine Entlassung,2009-12-14,0,,0.0,0
0,0,94624,,de,B?lent Ceylan - Live,2009-09-18,0,0,7.0,1
0,0,206794,tt1529258,de,Familienradgeber 2,2009-04-18,0,,4.0,1
0,0,278246,tt1386627,en,Henners Traum - Das gr??te Tourismusprojekt Europas,2009-03-26,0,93,7.0,2
0,0,279249,,it,The Allman Brothers Band - 40,2009-03-26,0,152,6.3,2
0,0,36973,tt2120781,en,Joe Bonamassa: Live from the Royal Albert Hall,2009-10-06,0,230,4.3,2
0,0,306793,tt1351629,en,Die Berliner Mauer,2009-02-15,0,15,8.5,2
0,0,46946,,pt,23 Anos em 7 Segundos,2009-09-01,0,0,5.0,2
0,0,164100,,en,Decibel Outdoor Festival 2009,2009-08-15,0,0,4.5,2
0,0,109277,,en,Death Angel - Sonic German Beatdown - Live in Germany,2009-05-15,0,189,3.8,2
0,0,268475,,en,Dornenreich: Nachtreisen,2009-09-25,0,115,4.8,2
0,0,289343,tt1492645,sv,Wallander 18 - Cellisten,2009-09-16,0,,8.0,2
0,0,41564,tt0814031,en,Blessed Is the Match: The Life and Death of Hannah Senesh,2009-01-28,0,86,8.0,2
0,0,36565,tt1293829,en,?ntligen midsommar,2009-10-02,0,86,4.8,2
0,0,110908,tt1493127,en,Ring of Deceit,2009-10-01,0,90,4.5,2
0,60000,14769,tt1307002,en,Redemption: A Mile from Hell,2009-01-01,0,90,3.5,2
0,0,462165,,en,Neil Young: Don't Be Denied,2009-06-10,0,60,0.0,0
0,0,306009,tt1338770,en,Four Seasons - Winter,2009-12-25,0,,7.0,1
0,0,479768,tt1798110,en,Bel Alwan ElTabeaya,2009-10-06,0,117,0.0,0
0,0,479729,tt1484131,en,Survive!,2009-08-14,0,0,0.0,0
0,0,82412,tt1576412,ko,??,2009-11-05,0,121,5.5,2
0,0,425576,tt1486608,en,Cinemaphobia,2009-03-31,0,88,6.0,1
0,0,36374,tt1407990,pl,Genera? ? zamach na Gibraltarze,2009-04-03,0,90,3.0,1
0,0,262781,tt1321973,es,D?as sin Luz,2009-01-13,0,,6.0,1
0,0,79408,tt1270781,en,Pardon Us for Living But the Graveyard Is Full,2009-04-03,0,64,10.0,1
0,0,396100,tt1537898,en,Serigala Terakhir,2009-05-11,0,110,7.0,1
0,500,162654,tt1581322,es,La Yuma,2009-01-01,0,90,5.0,1
0,0,283145,tt1519468,en,Kino Caravan,2009-07-22,0,100,5.0,1
0,0,145874,tt1124058,en,St. Nick,2009-03-15,0,86,5.0,1
0,0,278221,tt1352712,ml,????????,2009-02-05,0,133,1.0,1
0,0,77489,tt1447799,en,The Voyage That Shook the World,2009-08-26,0,52,1.0,1
0,0,115595,,en,Before Scotland,2009-06-29,0,137,10.0,1
0,0,218734,tt1399019,de,Gangster Girls,2009-03-27,0,79,0.0,1
0,0,124149,,en,"Allman Brothers Band - With Eric Clapton at the Beacon Theatre, NYC",2009-03-19,0,0,6.5,1
0,0,164552,tt1245772,de,Der F?rsorger,2009-09-29,0,,6.0,1
0,0,155561,,en,M?tley Cr?e: Cr?e Fest 2008,2009-03-24,0,242,7.0,1
0,0,283795,tt3774662,pt,1983 - O Ano Azul,2009-06-05,0,90,6.0,1
0,0,249886,tt1714160,pt,Um Homem Qualquer,2009-01-01,0,,7.0,1
0,0,131274,,sv,Westlife: The Number Ones Tour,2009-02-16,0,75,6.0,1
0,0,353685,tt1458924,ml,??? ????????????,2009-06-12,0,0,6.0,1
0,0,219687,tt1509868,en,Dave Matthews Band - Austin City Limits,2009-10-03,0,0,7.5,1
0,0,258182,tt1178403,de,Rosamunde Pilcher: Entscheidung des Herzens,2009-04-13,0,,7.0,1
0,0,58385,,de,Was Kinder brauchen - Neue Erkenntnisse aus der Hirnforschung,2009-04-20,0,,8.0,1
0,0,83959,tt1439557,en,Love in India,2009-05-08,0,0,8.0,1
0,15000,166465,tt1357069,en,Shadow.net,2009-03-20,0,20,8.0,1
0,0,255630,,en,Arthur l'aventurier La course au tre?sor,2009-03-12,0,66,8.0,1
0,0,400035,tt1135938,en,Lock and Roll Forever,2009-06-08,0,84,0.0,0
0,0,47696,tt1095413,el,?????? ??????????,2009-02-26,0,82,9.0,1
0,0,128062,tt1411973,es,Todos mienten,2009-03-28,0,75,5.5,2
0,0,38177,tt1556633,en,Ed Byrne: Different Class,2009-11-23,0,0,5.2,3
0,0,78000,tt1506953,en,Constantin si Elena,2009-08-09,0,0,6.0,1
0,0,141507,tt1445022,en,Garuda Di Dadaku,2009-06-18,0,0,5.0,1
0,0,411350,tt1658036,en,Av?s,2009-01-01,0,12,5.0,1
0,10,421831,tt4664384,en,Shamelessly She-Hulk,2009-10-05,0,90,10.0,1
0,0,144246,tt0968746,en,Jerusalem: Center of the World,2009-04-07,0,0,7.5,1
0,0,128389,tt1248886,en,Manila,2009-01-01,0,90,5.0,1
0,0,377554,tt3618180,en,Sound Over Water,2009-01-01,0,6,10.0,1
0,0,69615,tt1213631,en,?????????? ??????????,2009-07-17,0,160,6.0,1
0,0,474794,,fr,Halo Wars,2009-03-03,0,,6.0,1
0,0,350778,tt1798097,en,Africa is a Woman's Name,2009-01-01,0,53,6.0,1
0,0,445688,tt6619452,ms,Gerhana,2009-02-19,0,5,5.0,1
0,0,346590,tt1442350,lv,Sparni un Airi,2009-02-09,0,6,3.0,1
0,0,386926,,en,Swan Song,2009-01-01,0,13,2.0,1
0,400000,240072,tt1608566,pt,Poema de Salvaci?n,2009-11-19,0,78,5.3,2
0,0,48480,tt2252958,en,Coca-Cola: The Real Story Behind the Real Thing,2009-11-11,0,43,6.5,2
0,0,360544,tt1435475,en,"?????, ???????",2009-12-10,0,105,4.5,2
0,0,238807,tt1351746,en,Fig Trees,2009-02-09,0,100,5.0,2
0,0,152900,tt1337535,en,Saturn Returns,2009-01-01,0,97,7.5,2
0,0,251923,,de,Sexy Sixties,2009-11-10,0,,6.0,2
0,0,346581,tt1538502,es,"Lo siento, te quiero",2009-10-27,0,11,3.0,2
0,0,26746,tt1424845,en,Slam-Bang,2009-12-08,0,81,1.5,2
0,0,97147,tt1380807,de,Material,2009-02-12,0,164,4.3,2
0,0,203548,tt2274278,en,Lost Cave Temples of the Himalaya,2009-05-24,0,55,10.0,1
0,0,56992,tt1267406,it,Mar nero,2009-01-30,0,95,7.0,1
0,0,72798,tt1748127,en,My Favourite Things,2009-11-17,0,6,3.8,2
0,0,70917,tt1260587,en,The Scenesters,2009-08-31,0,0,4.5,2
0,0,72926,tt1621819,en,Maz Jobrani: Brown and Friendly,2009-12-31,0,65,9.0,2
0,0,253476,tt1288482,sl,Pokrajina ?t.2,2009-06-05,0,90,5.0,1
0,0,58915,,en,Riverside: Reality Dream Live,2009-12-14,0,0,9.5,2
0,0,113541,tt1205560,en,Last Call,2009-01-01,0,17,5.0,2
0,0,363855,tt1971422,en,I Am Jin Young,2009-09-30,0,19,4.5,2
0,0,32901,tt1326247,en,Mine,2009-03-01,0,80,8.5,2
0,0,242978,tt1542903,ko,Sisters on the Road,2009-04-22,0,96,7.3,2
0,0,72367,,en,Coldplay: Live from Japan,2009-02-12,0,44,6.3,2
0,0,252358,tt6382540,fr,"Sous les pav?s, la Terre !",2009-04-05,0,0,5.3,2
0,0,286396,tt0245247,en,Madonna: The Video Collection 93:99,2009-11-09,0,67,8.5,2
0,0,266740,tt1491605,en,Kansakunnan olohuone,2009-09-11,0,75,4.8,2
0,0,177059,,de,Broilers - The Anti Archives,2009-10-30,0,0,4.8,2
0,0,341416,,en,Quando gli uomini sapevano volare (When men knew fly),2009-11-05,0,3,10.0,2
0,0,33296,tt1305801,da,Himlen falder,2009-12-01,0,100,6.5,2
0,0,90765,tt1118655,en,The 7th Hunt,2009-01-01,0,90,2.3,2
0,0,223646,tt1524516,ja,????????????????,2009-11-21,0,70,3.0,2
0,0,86368,tt1363366,ja,Stop The Bitch Campaign Version 2.0,2009-02-28,0,93,0.0,0
0,150000,139004,tt1545322,de,Sodium Babies,2009-11-09,0,90,1.0,2
0,0,390984,tt1899133,en,Bob,2009-11-17,0,4,5.0,2
0,0,204745,tt2267568,en,Falling for Scratte,2009-10-27,0,9,6.0,2
