,budget,id,imdb_id,original_language,original_title,release_date,revenue,runtime,vote_average,vote_count
0,0,265599,tt1464622,en,Entering the Mind Through the Mouth,2010-04-20,0,23,4.0,1
0,0,148799,tt1639845,en,Nightswimming,2010-04-17,0,14,5.0,1
0,0,182586,tt2381929,en,Caterpillar,2010-08-07,0,15,7.0,1
0,0,351396,tt1754064,es,La Lavadora,2010-10-29,0,13,6.0,1
0,0,96311,tt1618390,en,The Disciple,2010-04-23,0,101,0.0,0
0,0,348359,tt1729996,de,Rosamunde Pilcher: Lords l?gen nicht,2010-12-19,0,,7.0,1
0,0,63966,tt1606751,de,Die Grenze,2010-03-15,0,,4.0,1
0,0,201643,tt1727854,et,Auk Nr. 8,2010-11-30,0,95,9.0,1
0,0,352864,tt1636750,sv,DemiUrge Emesis,2010-04-22,0,2,6.0,1
0,0,282015,tt1334532,en,Atsisveikinimas (laimingo ?mogaus istorija),2010-04-21,0,90,0.0,0
0,0,476385,,pt,Supermem?rias,2010-10-22,0,20,9.0,1
0,0,419236,tt2034717,ar,????????,2010-03-03,0,,6.0,1
0,0,414955,,en,Cirque de Chine,2010-01-01,0,104,10.0,1
0,0,178554,tt1714633,pt,"Chantal Akerman, de c?",2010-10-15,0,62,0.0,0
0,0,282112,,it,RCL - Ridotte Capacit? Lavorative,2010-12-10,0,,5.0,1
0,0,289518,,fr,Le Journal de Brigitte Jaune,2010-01-01,0,,6.0,1
0,0,344321,tt1795677,en,The Little Boy and the Ball,2010-06-11,0,11,4.0,1
0,0,78640,tt5544426,en,Oridathoru Postman,2010-10-08,0,0,5.0,1
0,0,267445,,fr,Hello Kitty - L'anniversaire surprise,2010-09-21,0,,10.0,1
0,0,181287,tt1630633,en,Eject,2010-10-23,0,87,3.0,1
0,0,180211,tt1594491,en,Im Haus meines Vaters sind viele Wohnungen,2010-03-25,0,89,8.0,1
0,0,291643,tt1786724,en,The Stone: No Soul Unturned,2010-01-01,0,89,1.0,1
0,0,325558,tt1961640,fr,Une lubie de monsieur Fortune,2010-01-25,0,,6.5,1
0,0,119811,,en,"The Avett Brothers - Live, Volume 3",2010-10-06,0,80,8.0,1
0,0,322765,tt4316072,ta,Rettaisuzhi,2010-04-23,0,142,5.5,1
0,0,141607,tt1787778,en,Parade of the Dead,2010-10-21,0,66,1.0,1
0,0,206859,tt1598099,en,Le divan du monde,2010-09-28,0,76,3.0,1
0,0,102049,tt3492076,en,Cinematic Titanic: The Alien Factor,2010-02-23,0,81,10.0,1
0,0,404128,tt2875894,en,Our Valley,2010-09-15,0,1,1.0,1
0,0,57894,,en,Winx Club 21,2010-03-03,0,48,10.0,1
0,0,94859,tt2064854,en,Love Cuts 2010,2010-09-09,0,118,6.5,1
0,0,291794,tt2728056,en,Jeremy Jones' Deeper,2010-09-10,0,60,0.0,1
0,0,69347,tt1339340,el,?? ????????? ??? ??????,2010-10-07,0,0,7.5,1
0,0,112574,tt1607542,en,After Armageddon,2010-01-06,0,94,7.0,1
0,300000,69502,tt1735932,ta,?,2010-10-05,1500000,159,6.0,1
0,0,210497,tt1997512,en,Raama Raavanan,2010-07-30,0,0,0.5,1
0,0,407951,tt1678046,es,La pantera negra,2010-01-01,0,105,10.0,1
0,0,321287,tt1522230,en,A Requiem For Bobby Fischer,2010-04-10,0,0,10.0,1
0,0,258196,tt1791678,en,The iHeart Revolution: We're All in This Together,2010-06-17,0,111,10.0,1
0,0,219061,tt3204264,th,?????? ????????? Sorry ?????????,2010-09-04,0,110,5.5,1
0,0,74228,tt1679538,pt,Br?der,2010-01-01,0,0,5.0,1
0,0,349104,,en,In The Meadow,2010-06-18,0,12,2.0,1
0,0,123421,tt1719540,en,Nesvatbov,2010-12-09,0,72,5.0,1
0,0,371613,,en,El Orden de Las Cosas,2010-05-12,0,20,6.0,1
