,budget,id,imdb_id,original_language,original_title,release_date,revenue,runtime,vote_average,vote_count
0,0,198170,,en,Marilyn,2012-05-29,0,20,0.0,0
0,0,150804,tt2360048,en,Continuity,2012-06-27,0,40,10.0,1
0,0,225752,tt2793532,en,Shift Change,2012-01-01,0,69,10.0,1
0,0,153806,tt2356754,en,Crossing Boundaries,2012-09-29,0,0,0.0,0
0,5300000,292127,tt2077766,de,I Love Your Moves,2012-03-01,0,100,6.5,1
0,0,136371,tt2391702,de,Rapace,2012-10-12,0,,6.5,1
0,0,180744,tt2374286,de,Der Fall Jakob von Metzler,2012-09-23,0,92,6.0,1
0,0,283543,tt2473642,en,"""Legitimate Rape"" Pharmaceutical Ad",2012-08-28,0,2,0.5,1
0,0,328856,tt4326622,en,Six Million Dollar Conman,2012-07-03,0,,10.0,1
0,0,155500,tt2772966,en,Bagheban,2012-10-04,0,87,5.0,1
0,0,222528,tt2953756,en,Astonishing X-Men: Unstoppable,2012-11-13,0,0,10.0,1
0,0,278699,tt1958016,en,Season Of A Lifetime,2012-04-14,0,0,8.0,1
0,0,140382,,ko,?????,2012-11-08,0,125,0.0,0
0,0,213857,tt2495212,pl,Milosc,2012-11-20,0,105,5.0,1
0,0,104728,tt2290133,te,???????,2012-01-20,0,0,7.0,1
0,0,105676,tt1835920,en,Careless Love,2012-05-16,0,104,8.0,1
0,0,182732,tt2327415,es,Mi santa mirada,2012-05-15,0,15,3.0,1
0,0,289442,tt2419086,en,Closed Circuit Extreme,2012-09-24,0,98,1.0,1
0,0,258085,tt2345483,de,Bella Australia,2012-04-26,0,0,0.0,0
0,0,255732,tt2651598,en,Um di?logo de ballet,2012-08-17,0,8,9.0,1
0,0,168457,,en,Mike Portnoy - Drumerta,2012-06-01,0,0,0.0,0
0,0,119640,tt1433183,en,Sleeper,2012-10-03,0,87,0.0,1
0,0,306925,tt2161313,de,2 f?r alle F?lle - Manche m?gen Mord,2012-01-19,0,,0.0,0
0,0,96297,,en,"The B-52s with the Wild Crowd! - Live in Athens, GA",2012-03-20,0,131,6.0,1
0,0,329182,,en,Loss Prevention,2012-09-10,0,5,0.0,0
0,0,278024,tt2210855,en,New World Order,2012-12-25,0,86,3.0,1
0,0,237557,tt2394081,en,Urfeld,2012-09-29,0,50,7.0,1
0,0,103050,tt1756832,en,The Unleashed,2012-10-05,0,0,0.0,1
0,0,391614,,ko,????,2012-11-22,0,71,5.5,1
0,0,138068,tt1193622,en,Bled White,2012-09-11,0,85,7.0,1
0,0,264558,tt2270168,es,En el ombligo del cielo,2012-11-18,0,90,6.0,1
0,0,161755,tt0380527,en,Nazi Zombies,2012-07-09,0,87,6.0,2
0,15000,218465,tt2093073,it,Canepazzo,2012-04-16,0,0,7.0,1
0,0,212234,tt2322112,en,Canoejacked,2012-09-13,0,6,6.0,1
0,0,202690,tt2356420,en,Metran Men Hada Al-Turab,2012-07-19,0,80,7.5,1
0,0,212209,tt2354557,en,When You Sleep,2012-09-11,0,12,6.0,1
0,0,186344,tt2406596,en,Moon Rider,2012-09-02,0,82,5.0,1
0,0,97649,tt2014369,en,The Legend of Harrow Woods,2012-10-24,0,90,0.5,1
0,0,212207,tt2354321,en,Safe Room,2012-04-05,0,5,7.0,1
0,0,345816,tt2262343,tr,Topra??n ?ocuklar?,2012-09-14,0,,7.0,1
0,0,317056,,en,"Lieve, dilaga",2012-01-11,0,1,0.0,0
0,0,187918,tt1833735,fr,Les fraises des bois,2012-04-18,0,108,8.0,1
