,budget,id,imdb_id,original_language,original_title,release_date,revenue,runtime,vote_average,vote_count
0,70000000,2270,tt0486655,en,Stardust,2007-08-09,135560026,127,7.2,1228
0,50000000,1272,tt0448134,en,Sunshine,2007-04-05,32017803,107,7.0,1222
0,20000000,8363,tt0829482,en,Superbad,2007-08-17,121463226,113,7.0,2168
0,110000000,1571,tt0337978,en,Live Free or Die Hard,2007-06-20,383531464,128,6.4,2148
0,130000000,6637,tt0465234,en,National Treasure: Book of Secrets,2007-12-13,457363168,124,6.1,1799
0,7500000,7326,tt0467406,en,Juno,2007-12-05,231411584,96,7.0,2332
0,0,1257,tt0490084,en,Because I Said So,2007-02-02,69485490,102,5.8,194
0,50000000,13885,tt0408236,en,Sweeney Todd: The Demon Barber of Fleet Street,2007-12-20,152000000,116,7.0,1766
0,16000000,1988,tt0829459,en,A Mighty Heart,2007-01-01,18928871,100,6.6,98
0,0,25218,tt0810945,en,Live!,2007-01-01,0,96,5.7,48
0,60000000,6477,tt0952640,en,Alvin and the Chipmunks,2007-12-13,361366633,92,5.5,1226
0,16000000,3877,tt0469623,en,Things We Lost in the Fire,2007-09-26,2849142,113,6.7,91
0,12000000,4638,tt0425112,en,Hot Fuzz,2007-02-14,80573774,121,7.4,2280
0,40000000,440,tt0758730,en,Aliens vs Predator: Requiem,2007-12-25,41797066,94,4.9,766
0,85000000,298,tt0496806,en,Ocean's Thirteen,2007-06-07,311312624,122,6.5,2057
0,30000000,3489,tt0411061,en,88 Minutes,2007-02-14,16930884,108,5.7,327
0,10000000,7942,tt0425413,en,Run Fatboy Run,2007-09-06,33000000,100,6.2,243
0,28000000,3638,tt0481141,en,No Reservations,2007-07-25,92601050,104,6.1,338
0,100000000,4982,tt0765429,en,American Gangster,2007-11-02,266465037,157,7.4,1542
0,130000000,1979,tt0486576,en,4: Rise of the Silver Surfer,2007-06-13,289047763,92,5.4,2677
0,0,1407,tt0450188,fr,La M?me,2007-02-08,0,140,7.4,438
0,12000000,4170,tt0399095,en,Trade,2007-01-23,0,120,6.8,71
0,70000000,4349,tt0431197,en,The Kingdom,2007-08-22,86658558,110,6.5,522
0,10000000,663,tt0890870,en,Saw IV,2007-10-25,139352633,93,5.9,951
0,0,18726,tt0403407,en,Perfect Creature,2007-08-16,0,90,5.1,29
0,15000000,1562,tt0463854,en,28 Weeks Later,2007-04-26,64238440,100,6.5,1240
0,160000,5723,tt0907657,en,Once,2007-03-23,20710513,85,7.3,461
0,0,2284,tt0457419,en,Mr. Magorium's Wonder Emporium,2007-11-14,69474661,93,6.0,368
0,21000000,1646,tt0463998,en,Freedom Writers,2007-01-05,41170784,123,7.6,377
0,18000000,7972,tt0292963,en,Before the Devil Knows You're Dead,2007-09-26,25005257,117,6.9,366
0,0,5718,tt0388182,en,King of California,2007-01-24,1027699,93,6.4,106
0,0,14636,tt0443473,en,The Condemned,2007-04-27,8642858,113,5.8,220
0,110000000,1250,tt0259324,en,Ghost Rider,2007-02-16,228738393,114,5.2,1779
0,15000000,10946,tt0393597,en,Earth,2007-04-22,109000000,90,7.6,138
0,39000000,4141,tt0465602,en,Shoot 'Em Up,2007-07-26,26820641,86,6.3,595
0,10000000,13251,tt0783608,en,The Walker,2007-02-13,0,108,5.0,26
0,30000000,4512,tt0443680,en,The Assassination of Jesse James by the Coward Robert Ford,2007-09-02,14711793,160,7.0,799
0,0,13564,tt0827782,en,Return to House on Haunted Hill,2007-10-03,0,81,5.1,58
0,22000000,13680,tt0492956,en,The Game Plan,2007-09-28,147880543,110,6.0,435
0,18000000,5876,tt0884328,en,The Mist,2007-11-21,57096190,126,6.7,1463
0,9000000,2196,tt0795368,en,Death at a Funeral,2007-02-09,46,90,6.9,512
0,85000000,4523,tt0461770,en,Enchanted,2007-11-20,340487652,107,6.6,1525
0,0,7862,tt0813547,de,Die F?lscher,2007-02-09,0,98,7.3,147
0,8000000,13474,tt0804516,en,P2,2007-11-09,7766240,98,5.7,164
0,16000000,8270,tt0427470,en,The Lookout,2007-03-09,5367030,99,6.6,211
0,75000000,6538,tt0472062,en,Charlie Wilson's War,2007-12-19,119000410,102,6.5,346
0,5000000,38142,tt0983213,ja,??5???????,2007-03-03,0,63,7.3,408
0,25000000,10431,tt0499556,en,War,2007-08-24,40452643,103,6.0,425
0,30000000,4513,tt0389722,en,30 Days of Night,2007-10-17,75505973,113,6.2,797
0,100000000,5375,tt0486583,en,Fred Claus,2007-11-03,97838349,116,5.5,213
0,15000000,14047,tt0427309,en,The Great Debaters,2007-12-27,30226144,126,7.0,154
0,1500000,8329,tt1038988,es,[REC],2007-04-10,30448000,78,7.1,965
0,0,329103,tt4136094,ru,Russkaya Lolita,2007-01-03,0,93,3.8,42
0,25000000,3021,tt0450385,en,1408,2007-07-12,94679598,104,6.5,1389
0,24000000,15019,tt0466839,en,I Could Never Be Your Woman,2007-05-11,9576495,97,5.7,95
0,19000000,4771,tt0452623,en,Gone Baby Gone,2007-10-19,34619699,113,7.2,1042
0,70000000,4413,tt0476964,en,The Brave One,2007-09-14,69766619,122,6.4,259
0,30000000,6023,tt0431308,en,P.S. I Love You,2007-11-15,156835339,126,7.0,1021
0,2000000,13025,tt0848557,en,Diary of the Dead,2007-09-08,5364858,95,5.4,196
0,23000000,6973,tt0478134,en,In the Valley of Elah,2007-08-31,29541790,124,6.6,267
0,27500000,5125,tt0804522,en,Rendition,2007-09-07,24748670,120,6.2,210
0,25000000,7345,tt0469494,en,There Will Be Blood,2007-12-28,77208711,158,7.9,1596
0,51500000,2252,tt0765443,en,Eastern Promises,2007-09-14,55112356,100,7.2,877
0,4000000,20714,tt0488478,ru,12,2007-06-06,7537453,159,6.6,55
0,8000000,13079,tt0815178,en,The Life Before Her Eyes,2007-09-08,0,90,6.1,88
0,30000000,3594,tt0481369,en,The Number 23,2007-02-23,77566815,101,6.3,1063
0,10000000,20411,tt0783598,en,Until Death,2007-01-19,0,101,4.9,47
0,0,10432,tt0475289,en,Hack!,2007-07-20,0,89,4.8,10
0,60795000,7183,tt0457433,en,Perfect Stranger,2007-04-12,73090611,109,5.5,247
0,70000000,1738,tt0435705,en,Next,2007-04-24,76066841,96,5.9,889
0,3000000,13492,tt0814685,en,Fronti?re(s),2007-07-01,0,108,6.0,189
0,30000000,4964,tt0478311,en,Knocked Up,2007-06-01,219076518,129,6.1,1270
0,15000000,2082,tt0373883,en,Halloween,2007-08-31,80253908,109,5.9,514
0,0,11199,tt0486946,en,Wild Hogs,2007-03-02,253625427,100,5.7,672
0,0,13061,tt1134859,en,Your Friend the Rat,2007-11-06,0,11,6.7,67
