,budget,id,imdb_id,original_language,original_title,release_date,revenue,runtime,vote_average,vote_count
0,0,13676,tt0969647,en,The Little Mermaid: Ariel's Beginning,2008-08-26,0,77,6.3,192
0,0,35247,tt0475323,en,The Lodge,2008-04-11,0,83,5.8,7
0,0,223698,tt1209317,en,Eel Girl,2008-07-09,0,5,6.0,2
0,0,20976,tt1179781,en,Mission Istaanbul: Darr Ke Aagey Jeet Hai!,2008-07-25,4500000,125,2.5,2
0,0,22319,tt1149405,en,Trouble the Water,2008-01-20,0,93,6.4,7
0,0,36172,tt1024856,ja,???????????????????,2008-01-19,0,109,7.8,2
0,0,224098,tt1073673,ro,Supravie?uitorul,2008-04-10,0,117,6.5,2
0,0,45290,,sv,Sm?stadsliv,2008-01-01,0,70,4.3,2
0,0,41341,tt1124379,en,The Last Hit Man,2008-03-26,0,0,5.6,5
0,1000000,57000,tt0496253,en,Breaking the Maya Code,2008-05-05,0,116,5.3,4
0,0,66591,tt1251346,de,Die Entdeckung der Currywurst,2008-09-11,0,0,5.3,2
0,5800,59223,tt1103262,en,Deadlands 2: Trapped,2008-10-27,2950,85,4.5,2
0,0,254442,,en,?May Your Memory Be Love? - The Story of Ovadia Baruch,2008-12-16,0,47,5.3,2
0,0,260479,tt1409085,en,Dime que yo,2008-11-10,0,14,7.5,2
0,0,70360,,en,K1 Dynamite!!,2008-12-31,0,218,4.8,2
0,0,91237,tt1337034,ko,Woetoli,2008-09-18,0,117,5.0,7
0,0,411387,tt1232772,en,De moins en moins,2008-01-01,0,7,3.5,2
0,7500,26163,,en,The Decline And Fall Of America,2008-01-01,1200,120,1.7,10
0,0,39801,tt1263029,en,Jaji no futari,2008-07-18,0,93,6.8,5
0,0,265316,tt1356735,en,????,2008-01-17,0,840,8.5,2
0,0,217970,,en,???????????,2008-08-29,0,62,5.0,1
0,0,210696,tt1725815,en,Othello: Shakespeare's Globe Theatre,2008-03-25,0,195,6.0,1
0,1000000,140765,tt1189432,en,Broken Path,2008-09-01,0,0,5.0,1
0,0,40502,tt1043860,en,Newcastle,2008-04-25,0,107,4.7,10
0,0,145387,tt0470420,en,The Leap Years,2008-02-29,0,102,6.5,2
0,0,29573,tt1259586,en,Promise,2008-05-04,0,81,5.0,2
0,0,151485,tt1305889,ml,Thirakkatha,2008-09-12,0,0,8.0,4
0,0,24792,tt1253565,en,Between the Folds,2008-01-01,0,56,7.3,9
0,0,72776,tt0496225,es,Aniceto,2008-06-12,0,82,6.0,4
0,0,35728,tt1287323,en,Compulsion,2008-05-04,0,93,6.0,2
0,0,117193,tt1201101,en,Paisito,2008-08-21,0,84,5.0,2
0,2550000,28112,tt1170396,no,I et speil i en g?te,2008-10-17,0,100,6.5,2
0,0,74906,,en,Almost Illegal #1,2008-06-03,0,60,2.8,3
0,20000,61239,tt1260052,en,Isle of the Damned,2008-10-17,0,85,3.8,6
0,0,57519,,en,??? ????,2008-08-01,1548963,106,5.0,7
0,0,212511,tt1437214,de,Graveyard of the Living Dead,2008-11-10,0,,5.0,2
0,0,212599,tt1288399,en,Squeal,2008-05-08,0,79,4.5,2
0,0,143431,tt1285125,en,Louis Theroux's African Hunting Holiday,2008-02-10,0,58,7.1,9
0,0,15355,tt1056434,en,Une chanson dans la t?te,2008-08-13,0,98,6.5,1
0,0,10667,tt1183143,en,Jesus Christus Erl?ser,2008-02-11,0,84,8.1,7
0,0,67085,tt1826750,es,Ma?ana te cuento 2,2008-02-14,0,0,3.0,2
0,0,63803,,en,Pacquiao vs. De La Hoya,2008-11-16,0,0,6.5,2
0,0,44432,tt0988086,en,The Dungeon Masters,2008-09-08,0,87,6.0,5
0,0,152967,tt1286811,ta,Kanchivaram,2008-09-12,0,117,7.5,2
0,0,78236,tt0996956,fr,Lady Jane,2008-04-09,0,104,5.3,3
0,0,56820,tt1285174,ru,???? ? ?????,2008-06-26,0,100,4.3,3
0,0,200907,tt1381557,en,The Door,2008-07-11,0,17,6.8,2
0,0,21965,tt1033468,en,Audie & the Wolf,2008-01-01,0,80,5.4,5
0,15000,136065,tt1337245,en,A'Mare,2008-11-25,0,15,8.5,2
0,0,248072,tt1219708,en,Praxis,2008-01-04,0,0,3.0,2
0,0,46396,,de,Rene Marik - Autschn!,2008-09-26,0,0,5.7,5
0,0,111556,tt1205478,de,Dornr?schen,2008-12-24,0,81,5.5,2
0,0,243439,tt1210077,de,Eine Liebe im Zeichen des Drachen,2008-05-11,0,90,4.0,1
0,0,34384,,ja,???D Extra Stage 2 ????????,2008-10-03,0,54,5.3,3
0,0,259690,tt1185253,hr,Kino Lika,2008-07-20,0,120,4.0,1
0,0,275210,tt0758796,en,The Violent Kind,2008-01-01,0,85,2.0,1
0,0,61929,tt1175489,en,Ate,2008-03-05,0,100,5.5,1
0,0,154421,tt1081956,fr,Le banquet,2008-08-29,0,95,7.0,1
0,0,108782,tt1263781,fr,Comme une ?toile dans la nuit,2008-12-03,0,0,6.0,1
0,0,360409,tt1424772,es,El hueco de Trist?n Boj,2008-05-17,0,19,3.0,1
0,0,66500,,ta,Bommalattam,2008-05-05,0,159,5.0,1
0,0,59537,,ru,Zapovednik straha,2008-01-01,0,0,4.3,2
0,0,23683,tt0488612,en,The Poker Club,2008-10-16,0,82,5.7,3
0,0,26145,tt1408088,en,Stewart Lee: 41st Best Stand-Up Ever!,2008-01-01,0,80,7.7,10
0,0,112126,tt0848638,ta,Sakkarakatti,2008-09-26,0,118,4.0,1
0,0,141949,,en,Schrader's Exorcism,2008-08-23,0,52,8.0,1
0,0,255480,tt1146327,en,Tausend Ozeane,2008-10-02,0,80,6.0,1
0,0,247060,,en,The Fireplace,2008-11-17,0,1,2.5,2
0,0,137517,tt1180323,en,??? ???,2008-12-17,0,114,7.0,1
0,0,37081,tt1039638,en,Sounds Like Teen Spirit,2008-09-09,0,100,6.7,3
0,0,448841,tt1341805,en,H?llenritt,2008-10-02,0,30,9.0,1
0,0,315592,tt1327600,ru,"??????? ?????, Rayskie ptitsy",2008-04-01,0,94,1.0,1
0,0,296349,tt1294998,en,Josh? Ayaka: Itaburi mesu ch?ky?,2008-09-19,0,0,0.0,0
0,0,14880,tt1043514,en,Irene Huss 3: Nattrond,2008-04-30,0,90,0.0,0
0,0,113993,tt1104699,en,NightDragon,2008-01-01,0,80,4.0,1
0,0,18432,tt0494279,en,Corporate Affairs,2008-01-01,0,98,0.0,0
0,0,56446,,en,The Nino Brown Story,2008-11-04,0,90,5.8,3
0,0,125400,tt1146439,en,A Gunfighter's Pledge,2008-09-20,0,79,2.0,3
0,0,275192,tt1230441,en,You Must Remember This: The Warner Bros. Story,2008-09-23,0,228,9.7,6
0,0,252684,tt0469081,en,For Heaven's Sake,2008-09-23,0,98,0.0,0
0,0,40861,tt0926200,en,Heavy Load,2008-03-10,0,0,0.0,0
0,0,83289,tt1111944,es,Rivales,2008-06-27,0,0,6.0,2
0,0,66039,tt1233505,ja,??????????????????,2008-05-24,0,65,6.5,2
0,3200000,50530,tt1373243,ru,Tarif Novogodniy,2008-12-04,3877492,86,5.6,8
0,0,179980,tt1205002,fr,L'amour dans le sang,2008-01-01,0,,0.0,0
0,0,110923,tt1278234,de,Mein Herz in Chile,2008-01-01,0,180,0.0,0
0,0,101585,tt1330065,en,Carmen meets Borat,2008-12-04,0,84,8.0,1
0,0,221357,tt1274744,en,The Tiffany Problem,2008-09-19,0,10,5.0,1
0,0,270459,tt1291428,en,Jackass World 24 Hour Takeover,2008-02-26,0,82,0.0,0
0,0,204228,tt1525883,de,Red and White: Gone with the West,2008-02-01,0,0,3.5,1
0,1000000,73614,tt1017442,en,House of Usher,2008-05-08,0,83,3.0,8
0,0,414077,tt1179061,sv,Pigan brinner!,2008-01-27,0,11,4.0,1
0,0,62279,tt1071215,de,Die Besucherin,2008-02-11,0,102,5.5,1
0,0,52189,tt1350909,tr,Ba?ka Semtin ?ocuklar?,2008-01-01,0,,7.5,1
0,0,38696,tt1245742,it,Ti stramo - Ho voglia di un'ultima notte da manuale prima di tre baci sopra il cielo,2008-11-28,0,95,4.4,8
0,0,21841,tt0933876,en,June 9,2008-06-09,0,95,5.5,2
0,0,156067,tt2150812,th,???????? ???????,2008-05-15,0,90,5.0,1
0,0,22498,tt0940620,en,Patti Smith: Dream of Life,2008-01-01,0,109,6.2,8
0,0,53732,tt1265968,en,Dub Echoes,2008-08-03,0,0,5.0,3
0,0,82641,,en,Nature Boy Ric Flair: The Definitive Collection,2008-07-08,0,0,8.0,1
0,0,46850,tt1289806,en,Kraftwerk and the Electronic Revolution,2008-09-02,0,180,9.0,1
0,0,97011,tt1455616,ru,?????? - ????,2008-01-01,36518,84,1.0,1
0,0,81061,tt1281841,en,Hare Ram,2008-07-18,0,150,5.5,2
0,0,264761,tt1205556,ko,??70,2008-10-02,0,118,6.5,2
0,0,303882,tt1353180,ru,??????? ? ?????????,2008-09-25,0,,4.0,2
